                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1768,                 4.3048,                 1.2656,                0.02709,                0.11106,                0.03559,                 0.0201,                 2.2231,                 4.1549,                 1.1092,             0.00019024,             0.00019024,             0.00019024
                      2,                 2.2845,                 3.2881,                 1.1293,                0.04807,                0.12899,                0.05855,                0.03043,                 2.1379,                 3.1839,                 1.1178,             0.00037094,             0.00037094,             0.00037094
                      3,                 2.2378,                 2.7834,                 1.0979,                0.46874,                0.07852,                0.07091,                0.03807,                 2.1206,                 2.5277,                 1.0845,             0.00053612,             0.00053612,             0.00053612
                      4,                 2.1549,                 2.4273,                  1.088,                0.49364,                0.12341,                0.09406,                0.05069,                 2.0564,                 2.4503,                  1.106,             0.00051815,             0.00051815,             0.00051815
                      5,                 2.1014,                 2.2152,                  1.065,                 0.1205,                 0.1859,                0.12849,                0.07058,                 2.0066,                 2.1991,                 1.0921,             0.00051815,             0.00051815,             0.00051815
                      6,                 2.0491,                 2.0878,                 1.0608,                0.10331,                0.10506,                0.09524,                0.05707,                 1.9694,                 1.9602,                 1.0653,             0.00049486,             0.00049486,             0.00049486
                      7,                 1.9868,                 1.9462,                 1.0424,                0.29377,                0.13907,                0.12179,                0.07067,                 1.9308,                 1.9454,                 1.0354,             0.00047158,             0.00047158,             0.00047158
                      8,                 1.9783,                 1.9053,                 1.0368,                0.24653,                0.11418,                0.11821,                0.06889,                  1.954,                  1.816,                 1.0413,             0.00044829,             0.00044829,             0.00044829
                      9,                 1.9472,                 1.8156,                 1.0277,                0.44261,                0.15618,                0.16378,                0.09853,                 1.8672,                  1.815,                 1.0238,             0.00042501,             0.00042501,             0.00042501
                     10,                 1.9536,                 1.7835,                 1.0236,                0.16513,                0.13574,                0.13976,                0.08626,                  1.833,                 1.6954,                 1.0258,             0.00040172,             0.00040172,             0.00040172
                     11,                 1.8929,                 1.7261,                 1.0082,                0.35288,                0.11837,                0.13236,                0.08521,                 1.8408,                 1.6455,                   1.03,             0.00037844,             0.00037844,             0.00037844
                     12,                 1.8812,                 1.6782,                 1.0117,                0.46165,                0.19244,                0.22722,                0.12762,                  1.817,                 1.6284,                 1.0147,             0.00035515,             0.00035515,             0.00035515
                     13,                 1.8487,                 1.6461,                 1.0004,                0.55136,                0.19292,                0.20178,                0.12642,                 1.7923,                 1.5749,                 1.0057,             0.00033187,             0.00033187,             0.00033187
                     14,                 1.8407,                 1.5988,                0.99815,                0.42098,                0.15495,                0.20973,                0.12673,                 1.8426,                 1.5735,                 1.0147,             0.00030858,             0.00030858,             0.00030858
                     15,                 1.8339,                 1.6085,                 1.0035,                0.29773,                0.12583,                0.16629,                0.10766,                 1.7384,                 1.5156,                0.99987,              0.0002853,              0.0002853,              0.0002853
                     16,                 1.8658,                 1.7275,                 1.0173,                0.39455,                 0.0823,                0.14824,                 0.0956,                 1.7523,                 1.5881,                   1.01,             0.00026201,             0.00026201,             0.00026201
                     17,                 1.8167,                 1.6426,                 1.0033,                0.25244,                0.11809,                0.17388,                0.10616,                 1.7842,                 1.5436,                 1.0081,             0.00023873,             0.00023873,             0.00023873
                     18,                 1.7858,                 1.5896,                0.99276,                0.32829,                0.14518,                0.17715,                0.11828,                 1.7249,                 1.5106,                0.99839,             0.00021544,             0.00021544,             0.00021544
                     19,                 1.7812,                 1.5665,                0.99445,                0.23038,                0.11042,                0.15181,                0.09658,                 1.7064,                 1.5125,                0.99154,             0.00019216,             0.00019216,             0.00019216
                     20,                 1.7419,                 1.5203,                0.98427,                0.34194,                0.16637,                0.20711,                0.13438,                 1.7109,                 1.4829,                 0.9904,             0.00016887,             0.00016887,             0.00016887
                     21,                  1.746,                 1.5234,                0.98427,                0.31807,                0.15312,                0.19155,                 0.1264,                 1.7045,                 1.4636,                0.98968,             0.00014559,             0.00014559,             0.00014559
                     22,                 1.7202,                 1.4842,                0.98053,                0.32036,                0.17154,                0.20436,                0.13659,                 1.6696,                 1.4113,                0.98469,              0.0001223,              0.0001223,              0.0001223
                     23,                 1.7358,                 1.4674,                0.98139,                0.31928,                0.17309,                0.20893,                 0.1414,                 1.6651,                 1.3984,                0.98216,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     24,                 1.7245,                 1.4677,                0.98005,                0.32725,                0.16966,                0.21174,                 0.1404,                 1.6779,                 1.4032,                0.98177,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     25,                 1.7134,                 1.4446,                0.97359,                0.33306,                0.16846,                0.20764,                0.14033,                 1.6498,                 1.3937,                0.98051,              5.245e-05,              5.245e-05,              5.245e-05
